Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Exam_Score,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Previous_Scores,Student_ID
23,84,2.02,7.61,No,7,73,1.83,Yes,0,2141.42,6.33,Public,Positive,3,No,High School,Near,Male,67,45970
19,64,1.74,3.52,No,8,59,0.01,Yes,2,6489.97,4.18,Public,Negative,4,No,College,Moderate,Female,61,71341
24,98,4.45,4.47,Yes,7,91,3.96,Yes,2,6898.83,5.64,Public,Neutral,4,No,Postgraduate,Near,Male,74,23658
29,89,1.77,3.66,Yes,8,98,3.65,Yes,1,5301.38,6.55,Public,Negative,4,No,High School,Moderate,Male,71,33382
19,92,4.22,3.76,Yes,6,65,3.52,Yes,3,5793.14,7.85,Public,Neutral,4,No,College,Near,Female,70,89412
19,88,5.05,3.94,Yes,8,89,6.57,Yes,3,6440.83,6.5,Public,Positive,3,No,Postgraduate,Near,Male,71,23664
29,84,4.09,2.34,Yes,7,68,0.71,Yes,1,2247.85,6.11,Private,Neutral,2,No,High School,Moderate,Male,67,29858
25,78,1.77,7.89,Yes,6,50,6.07,Yes,1,9494.82,7.57,Public,Negative,2,No,High School,Far,Male,66,80844
17,94,4.19,7.85,No,6,80,8.81,Yes,0,4038.6,0.94,Private,Neutral,1,No,College,Near,Male,69,83972
23,98,4.66,3.17,Yes,8,71,4.28,Yes,0,7286.49,7.03,Public,Positive,5,No,High School,Moderate,Male,72,91223
17,80,2.87,8.06,No,8,88,4.5,No,4,4175.67,8.68,Private,Neutral,4,No,College,Moderate,Male,68,37232
17,97,4.17,8.18,Yes,6,87,0.64,Yes,2,1633.39,9.74,Private,Neutral,2,No,High School,Near,Male,71,59781
21,83,4.89,3.2,Yes,8,97,1.1,Yes,2,6238.53,5.17,Public,Positive,4,No,High School,Near,Male,70,11429
9,82,5.8,4.38,Yes,8,72,5.05,Yes,2,6590.42,6.99,Private,Positive,3,No,Postgraduate,Near,Male,66,28838
10,78,4.1,8.84,Yes,8,74,5.63,Yes,1,1937.14,4.17,Private,Neutral,4,No,Postgraduate,Near,Male,65,54510
17,68,4.39,4.22,No,8,70,5.51,Yes,2,4260.02,5.69,Private,Positive,4,No,High School,Near,Female,64,73032
14,60,4.93,1.46,Yes,10,65,1.18,Yes,0,8183.69,5.53,Private,Positive,3,No,College,Near,Male,60,50731
22,70,2.43,3.67,Yes,6,82,6.02,Yes,1,4697.22,9.6,Public,Neutral,3,No,High School,Near,Female,65,22176
